,Emoji,Name,Tweets Collected,Sanitized Tweets,Cleaned Tweets,Median Cleaned Tweet Length
1F60D,😍,SMILING FACE WITH HEART-SHAPED EYES,102000,77063,3586,8
1F602,😂,FACE WITH TEARS OF JOY,182000,133565,13720,9
2764,❤️,HEAVY BLACK HEART,139000,88904,4283,9
1F618,😘,FACE THROWING A KISS,13050,9910,437,9
1F62D,😭,LOUDLY CRYING FACE,60000,51361,4825,9
1F44D,👍,THUMBS UP SIGN,27235,18229,1752,9
1F60A,😊,SMILING FACE WITH SMILING EYES,19800,16146,906,9
1F609,😉,WINKING FACE,20700,16394,1447,9
1F648,🙈,SEE-NO-EVIL MONKEY,43500,35141,2256,9
1F605,😅,SMILING FACE WITH OPEN MOUTH AND COLD SWEAT,57289,46641,3622,9
1F614,😔,PENSIVE FACE,121200,102265,8527,9
1F64F,🙏,PERSON WITH FOLDED HANDS,39300,26610,1615,9
1F61C,😜,FACE WITH STUCK-OUT TONGUE AND WINKING EYE,15178,11704,862,9
1F60F,😏,SMIRKING FACE,33750,26973,2249,9
1F44F,👏,CLAPPING HANDS SIGN,5087,3681,345,9
1F629,😩,WEARY FACE,48600,44380,6300,9
1F633,😳,FLUSHED FACE,55800,43463,3340,9
1F44C,👌,OK HAND SIGN,21810,15770,815,9
1F60B,😋,FACE SAVOURING DELICIOUS FOOD,17870,14729,1063,9
1F612,😒,UNAMUSED FACE,6000,4700,478,9
1F60C,😌,RELIEVED FACE,44400,38270,3785,9
1F631,😱,FACE SCREAMING IN FEAR,22200,17711,878,9
1F525,🔥,FIRE,36900,31378,1704,9
1F60E,😎,SMILING FACE WITH SUNGLASSES,61517,49459,3237,9
1F622,😢,CRYING FACE,21900,16119,1485,9
1F607,😇,SMILING FACE WITH HALO,24900,19256,1374,9
1F608,😈,SMILING FACE WITH HORNS,18367,15473,1715,9
270C,✌️,VICTORY HAND,15100,11275,661,9
1F62C,😬,GRIMACING FACE,24382,20900,1902,9
1F44E,👎,THUMBS DOWN SIGN,7800,6026,316,9
1F351,🍑,PEACH,11400,7148,602,9
1F620,😠,ANGRY FACE,15365,13248,591,9
,,,,,,
,,CUMULATIVE:,1333400,1033892,80678,8.96875